Epoch 001/50 | T.Loss: 0.1650 | V.Loss: 0.0589 | F1: 0.9110 | AUC: 0.9975 | LR: 1.00e-03 | t=153s
Epoch 002/50 | T.Loss: 0.1367 | V.Loss: 0.0571 | F1: 0.9130 | AUC: 0.9980 | LR: 1.00e-03 | t=156s
Epoch 003/50 | T.Loss: 0.1302 | V.Loss: 0.0538 | F1: 0.9193 | AUC: 0.9981 | LR: 1.00e-03 | t=155s
Epoch 004/50 | T.Loss: 0.1259 | V.Loss: 0.0503 | F1: 0.9247 | AUC: 0.9981 | LR: 1.00e-03 | t=154s
Epoch 005/50 | T.Loss: 0.1221 | V.Loss: 0.0499 | F1: 0.9225 | AUC: 0.9981 | LR: 1.00e-03 | t=155s
Epoch 006/50 | T.Loss: 0.1196 | V.Loss: 0.0473 | F1: 0.9330 | AUC: 0.9982 | LR: 1.00e-03 | t=153s
Epoch 007/50 | T.Loss: 0.1191 | V.Loss: 0.0484 | F1: 0.9247 | AUC: 0.9979 | LR: 1.00e-03 | t=155s
Epoch 008/50 | T.Loss: 0.1200 | V.Loss: 0.0500 | F1: 0.9176 | AUC: 0.9983 | LR: 1.00e-03 | t=154s
Epoch 009/50 | T.Loss: 0.1193 | V.Loss: 0.0564 | F1: 0.8981 | AUC: 0.9969 | LR: 1.00e-03 | t=154s
Epoch 010/50 | T.Loss: 0.1177 | V.Loss: 0.0481 | F1: 0.9012 | AUC: 0.9981 | LR: 1.00e-03 | t=152s
Epoch 011/50 | T.Loss: 0.1140 | V.Loss: 0.0489 | F1: 0.9203 | AUC: 0.9983 | LR: 1.00e-03 | t=154s
Epoch 012/50 | T.Loss: 0.1113 | V.Loss: 0.0476 | F1: 0.9250 | AUC: 0.9977 | LR: 5.00e-04 | t=153s
Epoch 013/50 | T.Loss: 0.1116 | V.Loss: 0.0489 | F1: 0.9329 | AUC: 0.9978 | LR: 5.00e-04 | t=153s
Epoch 014/50 | T.Loss: 0.1099 | V.Loss: 0.0491 | F1: 0.9246 | AUC: 0.9970 | LR: 5.00e-04 | t=152s
Epoch 015/50 | T.Loss: 0.1089 | V.Loss: 0.0498 | F1: 0.9275 | AUC: 0.9975 | LR: 5.00e-04 | t=152s
Epoch 016/50 | T.Loss: 0.1127 | V.Loss: 0.0481 | F1: 0.9338 | AUC: 0.9968 | LR: 5.00e-04 | t=153s
Epoch 017/50 | T.Loss: 0.1114 | V.Loss: 0.0467 | F1: 0.9363 | AUC: 0.9974 | LR: 5.00e-04 | t=153s
Epoch 018/50 | T.Loss: 0.1107 | V.Loss: 0.0490 | F1: 0.9289 | AUC: 0.9964 | LR: 5.00e-04 | t=154s
Epoch 019/50 | T.Loss: 0.1088 | V.Loss: 0.0538 | F1: 0.9169 | AUC: 0.9960 | LR: 5.00e-04 | t=152s
Epoch 020/50 | T.Loss: 0.1102 | V.Loss: 0.0482 | F1: 0.9331 | AUC: 0.9970 | LR: 5.00e-04 | t=152s
Epoch 021/50 | T.Loss: 0.1105 | V.Loss: 0.0467 | F1: 0.9271 | AUC: 0.9982 | LR: 5.00e-04 | t=153s
Epoch 022/50 | T.Loss: 0.1074 | V.Loss: 0.0522 | F1: 0.9299 | AUC: 0.9972 | LR: 5.00e-04 | t=153s
Epoch 023/50 | T.Loss: 0.1070 | V.Loss: 0.0462 | F1: 0.9312 | AUC: 0.9963 | LR: 2.50e-04 | t=154s
Epoch 024/50 | T.Loss: 0.1052 | V.Loss: 0.0537 | F1: 0.9258 | AUC: 0.9967 | LR: 2.50e-04 | t=155s
Epoch 025/50 | T.Loss: 0.1056 | V.Loss: 0.0502 | F1: 0.9289 | AUC: 0.9976 | LR: 2.50e-04 | t=159s
Epoch 026/50 | T.Loss: 0.1080 | V.Loss: 0.0492 | F1: 0.9307 | AUC: 0.9979 | LR: 2.50e-04 | t=162s
Epoch 027/50 | T.Loss: 0.1090 | V.Loss: 0.0489 | F1: 0.9351 | AUC: 0.9970 | LR: 2.50e-04 | t=159s
