Epoch 001/50 | T.Loss: 0.1662 | V.Loss: 0.0638 | F1: 0.9137 | AUC: 0.9966 | LR: 1.00e-03 | t=95s
Epoch 002/50 | T.Loss: 0.1391 | V.Loss: 0.0583 | F1: 0.9104 | AUC: 0.9977 | LR: 1.00e-03 | t=94s
Epoch 003/50 | T.Loss: 0.1325 | V.Loss: 0.0597 | F1: 0.9265 | AUC: 0.9976 | LR: 1.00e-03 | t=93s
Epoch 004/50 | T.Loss: 0.1297 | V.Loss: 0.0644 | F1: 0.9194 | AUC: 0.9977 | LR: 1.00e-03 | t=93s
Epoch 005/50 | T.Loss: 0.1265 | V.Loss: 0.0578 | F1: 0.9301 | AUC: 0.9980 | LR: 1.00e-03 | t=94s
Epoch 006/50 | T.Loss: 0.1249 | V.Loss: 0.0614 | F1: 0.9276 | AUC: 0.9949 | LR: 1.00e-03 | t=94s
Epoch 007/50 | T.Loss: 0.1221 | V.Loss: 0.0646 | F1: 0.9278 | AUC: 0.9956 | LR: 1.00e-03 | t=95s
Epoch 008/50 | T.Loss: 0.1190 | V.Loss: 0.0596 | F1: 0.9310 | AUC: 0.9980 | LR: 1.00e-03 | t=96s
Epoch 009/50 | T.Loss: 0.1210 | V.Loss: 0.0595 | F1: 0.9343 | AUC: 0.9980 | LR: 1.00e-03 | t=94s
Epoch 010/50 | T.Loss: 0.1183 | V.Loss: 0.0612 | F1: 0.9329 | AUC: 0.9973 | LR: 1.00e-03 | t=95s
Epoch 011/50 | T.Loss: 0.1165 | V.Loss: 0.0622 | F1: 0.9323 | AUC: 0.9979 | LR: 1.00e-03 | t=95s
Epoch 012/50 | T.Loss: 0.1144 | V.Loss: 0.0609 | F1: 0.9377 | AUC: 0.9972 | LR: 1.00e-03 | t=95s
Epoch 013/50 | T.Loss: 0.1153 | V.Loss: 0.0625 | F1: 0.9332 | AUC: 0.9968 | LR: 1.00e-03 | t=96s
Epoch 014/50 | T.Loss: 0.1152 | V.Loss: 0.0602 | F1: 0.9362 | AUC: 0.9934 | LR: 1.00e-03 | t=95s
Epoch 015/50 | T.Loss: 0.1140 | V.Loss: 0.0599 | F1: 0.9275 | AUC: 0.9975 | LR: 1.00e-03 | t=94s
Epoch 016/50 | T.Loss: 0.1152 | V.Loss: 0.0655 | F1: 0.9350 | AUC: 0.9895 | LR: 1.00e-03 | t=95s
Epoch 017/50 | T.Loss: 0.1126 | V.Loss: 0.0595 | F1: 0.9354 | AUC: 0.9973 | LR: 1.00e-03 | t=96s
Epoch 018/50 | T.Loss: 0.1109 | V.Loss: 0.0592 | F1: 0.9393 | AUC: 0.9980 | LR: 5.00e-04 | t=95s
Epoch 019/50 | T.Loss: 0.1100 | V.Loss: 0.0576 | F1: 0.9389 | AUC: 0.9978 | LR: 5.00e-04 | t=96s
Epoch 020/50 | T.Loss: 0.1093 | V.Loss: 0.0622 | F1: 0.9342 | AUC: 0.9929 | LR: 5.00e-04 | t=95s
Epoch 021/50 | T.Loss: 0.1080 | V.Loss: 0.0622 | F1: 0.9361 | AUC: 0.9916 | LR: 5.00e-04 | t=94s
Epoch 022/50 | T.Loss: 0.1092 | V.Loss: 0.0597 | F1: 0.9406 | AUC: 0.9943 | LR: 5.00e-04 | t=94s
Epoch 023/50 | T.Loss: 0.1069 | V.Loss: 0.0618 | F1: 0.9362 | AUC: 0.9973 | LR: 5.00e-04 | t=95s
Epoch 024/50 | T.Loss: 0.1069 | V.Loss: 0.0606 | F1: 0.9372 | AUC: 0.9947 | LR: 5.00e-04 | t=95s
Epoch 025/50 | T.Loss: 0.1085 | V.Loss: 0.0629 | F1: 0.9363 | AUC: 0.9887 | LR: 5.00e-04 | t=95s
Epoch 026/50 | T.Loss: 0.1066 | V.Loss: 0.0613 | F1: 0.9344 | AUC: 0.9896 | LR: 5.00e-04 | t=95s
Epoch 027/50 | T.Loss: 0.1061 | V.Loss: 0.0631 | F1: 0.9384 | AUC: 0.9884 | LR: 5.00e-04 | t=95s
Epoch 028/50 | T.Loss: 0.1056 | V.Loss: 0.0621 | F1: 0.9384 | AUC: 0.9965 | LR: 2.50e-04 | t=95s
Epoch 029/50 | T.Loss: 0.1059 | V.Loss: 0.0608 | F1: 0.9399 | AUC: 0.9953 | LR: 2.50e-04 | t=95s
Epoch 030/50 | T.Loss: 0.1070 | V.Loss: 0.0607 | F1: 0.9367 | AUC: 0.9970 | LR: 2.50e-04 | t=95s
Epoch 031/50 | T.Loss: 0.1059 | V.Loss: 0.0631 | F1: 0.9373 | AUC: 0.9882 | LR: 2.50e-04 | t=95s
Epoch 032/50 | T.Loss: 0.1044 | V.Loss: 0.0619 | F1: 0.9381 | AUC: 0.9963 | LR: 2.50e-04 | t=94s
