Epoch 001/60 | T.Loss: 0.9205 | V.Loss: 0.5543 | F1: 0.7905 | AUC: 0.9784 | LR: 1.00e-03 | t=26s
Epoch 002/60 | T.Loss: 0.8121 | V.Loss: 0.5076 | F1: 0.8665 | AUC: 0.9874 | LR: 1.00e-03 | t=24s
Epoch 003/60 | T.Loss: 0.7269 | V.Loss: 0.4404 | F1: 0.8731 | AUC: 0.9883 | LR: 1.00e-03 | t=23s
Epoch 004/60 | T.Loss: 0.7222 | V.Loss: 0.4210 | F1: 0.8720 | AUC: 0.9895 | LR: 1.00e-03 | t=24s
Epoch 005/60 | T.Loss: 0.6664 | V.Loss: 0.4679 | F1: 0.8682 | AUC: 0.9903 | LR: 1.00e-03 | t=22s
Epoch 006/60 | T.Loss: 0.6680 | V.Loss: 0.4401 | F1: 0.8764 | AUC: 0.9888 | LR: 1.00e-03 | t=23s
Epoch 007/60 | T.Loss: 0.6840 | V.Loss: 0.4201 | F1: 0.8721 | AUC: 0.9903 | LR: 1.00e-03 | t=24s
Epoch 008/60 | T.Loss: 0.6457 | V.Loss: 0.4246 | F1: 0.8778 | AUC: 0.9907 | LR: 1.00e-03 | t=23s
Epoch 009/60 | T.Loss: 0.6287 | V.Loss: 0.4219 | F1: 0.8955 | AUC: 0.9920 | LR: 1.00e-03 | t=25s
Epoch 010/60 | T.Loss: 0.6935 | V.Loss: 0.5755 | F1: 0.8892 | AUC: 0.9920 | LR: 1.00e-03 | t=24s
Epoch 011/60 | T.Loss: 0.6252 | V.Loss: 0.4152 | F1: 0.8775 | AUC: 0.9917 | LR: 1.00e-03 | t=23s
Epoch 012/60 | T.Loss: 0.6088 | V.Loss: 0.4241 | F1: 0.8973 | AUC: 0.9924 | LR: 1.00e-03 | t=24s
Epoch 013/60 | T.Loss: 0.6301 | V.Loss: 0.4438 | F1: 0.8879 | AUC: 0.9921 | LR: 1.00e-03 | t=23s
Epoch 014/60 | T.Loss: 0.6162 | V.Loss: 0.4049 | F1: 0.8923 | AUC: 0.9932 | LR: 1.00e-03 | t=25s
Epoch 015/60 | T.Loss: 0.6007 | V.Loss: 0.3904 | F1: 0.8851 | AUC: 0.9916 | LR: 1.00e-03 | t=24s
Epoch 016/60 | T.Loss: 0.6111 | V.Loss: 0.3880 | F1: 0.8995 | AUC: 0.9908 | LR: 1.00e-03 | t=22s
