Epoch 001/60 | T.Loss: 1.5132 | V.Loss: 1.0903 | F1: 0.8151 | AUC: 0.9717 | LR: 1.00e-03 | t=25s
Epoch 002/60 | T.Loss: 1.4374 | V.Loss: 1.1069 | F1: 0.8464 | AUC: 0.9737 | LR: 1.00e-03 | t=25s
Epoch 003/60 | T.Loss: 1.3821 | V.Loss: 1.0980 | F1: 0.8551 | AUC: 0.9792 | LR: 1.00e-03 | t=24s
Epoch 004/60 | T.Loss: 1.4083 | V.Loss: 1.1342 | F1: 0.8715 | AUC: 0.9748 | LR: 1.00e-03 | t=25s
Epoch 005/60 | T.Loss: 1.3733 | V.Loss: 1.1560 | F1: 0.8600 | AUC: 0.9790 | LR: 1.00e-03 | t=26s
Epoch 006/60 | T.Loss: 1.3304 | V.Loss: 1.2029 | F1: 0.8665 | AUC: 0.9821 | LR: 1.00e-03 | t=24s
Epoch 007/60 | T.Loss: 1.3947 | V.Loss: 1.5443 | F1: 0.8849 | AUC: 0.9835 | LR: 1.00e-03 | t=28s
Epoch 008/60 | T.Loss: 1.3481 | V.Loss: 1.1191 | F1: 0.8720 | AUC: 0.9791 | LR: 1.00e-03 | t=26s
Epoch 009/60 | T.Loss: 1.3891 | V.Loss: 1.2314 | F1: 0.8823 | AUC: 0.9833 | LR: 1.00e-03 | t=23s
Epoch 010/60 | T.Loss: 1.3607 | V.Loss: 1.1717 | F1: 0.8875 | AUC: 0.9870 | LR: 1.00e-03 | t=25s
Epoch 011/60 | T.Loss: 1.3879 | V.Loss: 1.2931 | F1: 0.8951 | AUC: 0.9812 | LR: 1.00e-03 | t=26s
Epoch 012/60 | T.Loss: 1.3366 | V.Loss: 1.2315 | F1: 0.8820 | AUC: 0.9861 | LR: 1.00e-03 | t=24s
Epoch 013/60 | T.Loss: 1.3918 | V.Loss: 1.1671 | F1: 0.8990 | AUC: 0.9843 | LR: 1.00e-03 | t=25s
Epoch 014/60 | T.Loss: 1.3824 | V.Loss: 1.1296 | F1: 0.8906 | AUC: 0.9873 | LR: 1.00e-03 | t=28s
Epoch 015/60 | T.Loss: 1.3872 | V.Loss: 1.0822 | F1: 0.8904 | AUC: 0.9815 | LR: 1.00e-03 | t=25s
Epoch 016/60 | T.Loss: 1.3834 | V.Loss: 1.1181 | F1: 0.8999 | AUC: 0.9877 | LR: 1.00e-03 | t=24s
Epoch 017/60 | T.Loss: 1.3554 | V.Loss: 1.2269 | F1: 0.8912 | AUC: 0.9840 | LR: 1.00e-03 | t=25s
Epoch 018/60 | T.Loss: 1.3340 | V.Loss: 1.2634 | F1: 0.8970 | AUC: 0.9834 | LR: 1.00e-03 | t=25s
Epoch 019/60 | T.Loss: 1.3318 | V.Loss: 1.0173 | F1: 0.8913 | AUC: 0.9867 | LR: 1.00e-03 | t=23s
Epoch 020/60 | T.Loss: 1.3590 | V.Loss: 1.2575 | F1: 0.8987 | AUC: 0.9840 | LR: 1.00e-03 | t=25s
Epoch 021/60 | T.Loss: 1.3126 | V.Loss: 1.2764 | F1: 0.8952 | AUC: 0.9861 | LR: 1.00e-03 | t=26s
Epoch 022/60 | T.Loss: 1.3021 | V.Loss: 1.2593 | F1: 0.9109 | AUC: 0.9871 | LR: 5.00e-04 | t=24s
Epoch 023/60 | T.Loss: 1.2686 | V.Loss: 1.1627 | F1: 0.9038 | AUC: 0.9856 | LR: 5.00e-04 | t=25s
Epoch 024/60 | T.Loss: 1.2474 | V.Loss: 1.1646 | F1: 0.9021 | AUC: 0.9878 | LR: 5.00e-04 | t=25s
Epoch 025/60 | T.Loss: 1.2624 | V.Loss: 1.1845 | F1: 0.9026 | AUC: 0.9881 | LR: 5.00e-04 | t=25s
Epoch 026/60 | T.Loss: 1.2129 | V.Loss: 1.1618 | F1: 0.9111 | AUC: 0.9882 | LR: 5.00e-04 | t=24s
Epoch 027/60 | T.Loss: 1.1750 | V.Loss: 1.0404 | F1: 0.9179 | AUC: 0.9887 | LR: 5.00e-04 | t=26s
Epoch 028/60 | T.Loss: 1.1991 | V.Loss: 1.1396 | F1: 0.9140 | AUC: 0.9847 | LR: 5.00e-04 | t=26s
Epoch 029/60 | T.Loss: 1.1973 | V.Loss: 1.0805 | F1: 0.9126 | AUC: 0.9841 | LR: 5.00e-04 | t=24s
Epoch 030/60 | T.Loss: 1.1710 | V.Loss: 1.0746 | F1: 0.9121 | AUC: 0.9881 | LR: 5.00e-04 | t=25s
Epoch 031/60 | T.Loss: 1.1756 | V.Loss: 1.0903 | F1: 0.9082 | AUC: 0.9799 | LR: 5.00e-04 | t=25s
Epoch 032/60 | T.Loss: 1.1650 | V.Loss: 1.0262 | F1: 0.9088 | AUC: 0.9821 | LR: 5.00e-04 | t=24s
Epoch 033/60 | T.Loss: 1.1737 | V.Loss: 1.0514 | F1: 0.9136 | AUC: 0.9822 | LR: 2.50e-04 | t=25s
Epoch 034/60 | T.Loss: 1.1813 | V.Loss: 1.0838 | F1: 0.9053 | AUC: 0.9831 | LR: 2.50e-04 | t=25s
Epoch 035/60 | T.Loss: 1.1765 | V.Loss: 1.0408 | F1: 0.9195 | AUC: 0.9828 | LR: 2.50e-04 | t=23s
Epoch 036/60 | T.Loss: 1.1584 | V.Loss: 1.0653 | F1: 0.9107 | AUC: 0.9811 | LR: 2.50e-04 | t=25s
Epoch 037/60 | T.Loss: 1.1493 | V.Loss: 1.0604 | F1: 0.9179 | AUC: 0.9824 | LR: 2.50e-04 | t=24s
Epoch 038/60 | T.Loss: 1.1370 | V.Loss: 1.0274 | F1: 0.9160 | AUC: 0.9831 | LR: 2.50e-04 | t=25s
Epoch 039/60 | T.Loss: 1.0365 | V.Loss: 1.0629 | F1: 0.9239 | AUC: 0.9830 | LR: 2.50e-04 | t=25s
Epoch 040/60 | T.Loss: 1.1265 | V.Loss: 1.0361 | F1: 0.9221 | AUC: 0.9829 | LR: 2.50e-04 | t=24s
Epoch 041/60 | T.Loss: 1.1832 | V.Loss: 1.0537 | F1: 0.9174 | AUC: 0.9810 | LR: 2.50e-04 | t=25s
Epoch 042/60 | T.Loss: 1.1716 | V.Loss: 1.0101 | F1: 0.9218 | AUC: 0.9837 | LR: 2.50e-04 | t=25s
Epoch 043/60 | T.Loss: 1.1619 | V.Loss: 1.0748 | F1: 0.9128 | AUC: 0.9805 | LR: 2.50e-04 | t=23s
Epoch 044/60 | T.Loss: 1.1009 | V.Loss: 1.0381 | F1: 0.9230 | AUC: 0.9837 | LR: 2.50e-04 | t=25s
Epoch 045/60 | T.Loss: 1.1728 | V.Loss: 1.0436 | F1: 0.9233 | AUC: 0.9833 | LR: 1.25e-04 | t=25s
Epoch 046/60 | T.Loss: 1.1176 | V.Loss: 1.0611 | F1: 0.9219 | AUC: 0.9821 | LR: 1.25e-04 | t=23s
Epoch 047/60 | T.Loss: 1.2030 | V.Loss: 1.0141 | F1: 0.9232 | AUC: 0.9831 | LR: 1.25e-04 | t=25s
Epoch 048/60 | T.Loss: 1.1264 | V.Loss: 1.0782 | F1: 0.9244 | AUC: 0.9823 | LR: 1.25e-04 | t=25s
Epoch 049/60 | T.Loss: 1.1250 | V.Loss: 1.0589 | F1: 0.9205 | AUC: 0.9818 | LR: 1.25e-04 | t=24s
Epoch 050/60 | T.Loss: 1.1201 | V.Loss: 1.0571 | F1: 0.9252 | AUC: 0.9831 | LR: 1.25e-04 | t=25s
Epoch 051/60 | T.Loss: 1.1347 | V.Loss: 1.0425 | F1: 0.9241 | AUC: 0.9824 | LR: 1.25e-04 | t=26s
Epoch 052/60 | T.Loss: 1.1356 | V.Loss: 1.0676 | F1: 0.9249 | AUC: 0.9828 | LR: 1.25e-04 | t=24s
Epoch 053/60 | T.Loss: 1.0763 | V.Loss: 1.0588 | F1: 0.9249 | AUC: 0.9829 | LR: 1.25e-04 | t=25s
Epoch 054/60 | T.Loss: 1.1884 | V.Loss: 1.0405 | F1: 0.9209 | AUC: 0.9817 | LR: 1.25e-04 | t=25s
Epoch 055/60 | T.Loss: 1.1858 | V.Loss: 1.0457 | F1: 0.9244 | AUC: 0.9830 | LR: 1.25e-04 | t=24s
Epoch 056/60 | T.Loss: 1.1129 | V.Loss: 1.0615 | F1: 0.9239 | AUC: 0.9824 | LR: 6.25e-05 | t=25s
Epoch 057/60 | T.Loss: 1.1510 | V.Loss: 1.0418 | F1: 0.9224 | AUC: 0.9826 | LR: 6.25e-05 | t=25s
Epoch 058/60 | T.Loss: 1.1208 | V.Loss: 1.0344 | F1: 0.9238 | AUC: 0.9828 | LR: 6.25e-05 | t=24s
Epoch 059/60 | T.Loss: 1.1240 | V.Loss: 1.0738 | F1: 0.9241 | AUC: 0.9821 | LR: 6.25e-05 | t=26s
Epoch 060/60 | T.Loss: 1.1017 | V.Loss: 1.0551 | F1: 0.9246 | AUC: 0.9821 | LR: 6.25e-05 | t=26s
