Epoch 001/60 | T.Loss: 1.4577 | V.Loss: 1.1517 | F1: 0.8238 | AUC: 0.9739 | LR: 1.00e-03 | t=30s
Epoch 002/60 | T.Loss: 1.3943 | V.Loss: 1.0979 | F1: 0.8410 | AUC: 0.9770 | LR: 1.00e-03 | t=23s
Epoch 003/60 | T.Loss: 1.3255 | V.Loss: 1.1146 | F1: 0.8616 | AUC: 0.9795 | LR: 1.00e-03 | t=25s
Epoch 004/60 | T.Loss: 1.3283 | V.Loss: 1.1391 | F1: 0.8557 | AUC: 0.9783 | LR: 1.00e-03 | t=25s
Epoch 005/60 | T.Loss: 1.2847 | V.Loss: 1.1184 | F1: 0.8605 | AUC: 0.9809 | LR: 1.00e-03 | t=23s
Epoch 006/60 | T.Loss: 1.3039 | V.Loss: 1.0969 | F1: 0.8686 | AUC: 0.9862 | LR: 1.00e-03 | t=24s
Epoch 007/60 | T.Loss: 1.3641 | V.Loss: 1.2123 | F1: 0.8644 | AUC: 0.9807 | LR: 1.00e-03 | t=24s
Epoch 008/60 | T.Loss: 1.3156 | V.Loss: 1.1955 | F1: 0.8742 | AUC: 0.9867 | LR: 1.00e-03 | t=24s
Epoch 009/60 | T.Loss: 1.2741 | V.Loss: 1.2698 | F1: 0.8789 | AUC: 0.9845 | LR: 1.00e-03 | t=24s
Epoch 010/60 | T.Loss: 1.3540 | V.Loss: 1.2435 | F1: 0.8911 | AUC: 0.9831 | LR: 1.00e-03 | t=22s
Epoch 011/60 | T.Loss: 1.2539 | V.Loss: 1.2608 | F1: 0.8759 | AUC: 0.9855 | LR: 1.00e-03 | t=24s
Epoch 012/60 | T.Loss: 1.2048 | V.Loss: 1.1335 | F1: 0.8998 | AUC: 0.9863 | LR: 1.00e-03 | t=24s
Epoch 013/60 | T.Loss: 1.2013 | V.Loss: 1.1287 | F1: 0.8899 | AUC: 0.9837 | LR: 1.00e-03 | t=23s
Epoch 014/60 | T.Loss: 1.1429 | V.Loss: 1.1167 | F1: 0.9058 | AUC: 0.9888 | LR: 1.00e-03 | t=24s
Epoch 015/60 | T.Loss: 1.1404 | V.Loss: 1.1397 | F1: 0.9040 | AUC: 0.9882 | LR: 1.00e-03 | t=23s
Epoch 016/60 | T.Loss: 1.1452 | V.Loss: 1.1221 | F1: 0.8978 | AUC: 0.9892 | LR: 1.00e-03 | t=24s
Epoch 017/60 | T.Loss: 1.1186 | V.Loss: 1.1146 | F1: 0.8947 | AUC: 0.9872 | LR: 1.00e-03 | t=24s
Epoch 018/60 | T.Loss: 1.1249 | V.Loss: 1.1901 | F1: 0.8798 | AUC: 0.9891 | LR: 1.00e-03 | t=23s
Epoch 019/60 | T.Loss: 1.0648 | V.Loss: 1.2085 | F1: 0.9091 | AUC: 0.9898 | LR: 1.00e-03 | t=24s
Epoch 020/60 | T.Loss: 1.1705 | V.Loss: 1.1615 | F1: 0.8928 | AUC: 0.9770 | LR: 1.00e-03 | t=25s
Epoch 021/60 | T.Loss: 1.2015 | V.Loss: 1.1248 | F1: 0.9048 | AUC: 0.9879 | LR: 1.00e-03 | t=23s
Epoch 022/60 | T.Loss: 1.1184 | V.Loss: 1.2316 | F1: 0.8882 | AUC: 0.9886 | LR: 1.00e-03 | t=25s
Epoch 023/60 | T.Loss: 1.1339 | V.Loss: 1.1460 | F1: 0.8991 | AUC: 0.9837 | LR: 1.00e-03 | t=24s
Epoch 024/60 | T.Loss: 1.1969 | V.Loss: 1.1735 | F1: 0.9039 | AUC: 0.9874 | LR: 1.00e-03 | t=24s
Epoch 025/60 | T.Loss: 1.1781 | V.Loss: 1.1377 | F1: 0.9018 | AUC: 0.9859 | LR: 5.00e-04 | t=25s
Epoch 026/60 | T.Loss: 1.1801 | V.Loss: 1.1597 | F1: 0.9143 | AUC: 0.9888 | LR: 5.00e-04 | t=24s
Epoch 027/60 | T.Loss: 1.1318 | V.Loss: 1.1887 | F1: 0.9193 | AUC: 0.9857 | LR: 5.00e-04 | t=25s
Epoch 028/60 | T.Loss: 1.0996 | V.Loss: 1.1640 | F1: 0.9183 | AUC: 0.9843 | LR: 5.00e-04 | t=25s
Epoch 029/60 | T.Loss: 1.1536 | V.Loss: 1.1272 | F1: 0.9042 | AUC: 0.9777 | LR: 5.00e-04 | t=23s
Epoch 030/60 | T.Loss: 1.1571 | V.Loss: 1.1352 | F1: 0.9202 | AUC: 0.9819 | LR: 5.00e-04 | t=24s
Epoch 031/60 | T.Loss: 1.1690 | V.Loss: 1.2236 | F1: 0.9000 | AUC: 0.9792 | LR: 5.00e-04 | t=25s
Epoch 032/60 | T.Loss: 1.0826 | V.Loss: 1.1104 | F1: 0.9186 | AUC: 0.9841 | LR: 5.00e-04 | t=23s
Epoch 033/60 | T.Loss: 1.0681 | V.Loss: 1.1186 | F1: 0.9078 | AUC: 0.9824 | LR: 5.00e-04 | t=25s
Epoch 034/60 | T.Loss: 1.1794 | V.Loss: 1.2137 | F1: 0.9034 | AUC: 0.9827 | LR: 5.00e-04 | t=25s
Epoch 035/60 | T.Loss: 1.1069 | V.Loss: 1.1519 | F1: 0.9049 | AUC: 0.9810 | LR: 5.00e-04 | t=23s
Epoch 036/60 | T.Loss: 1.1366 | V.Loss: 1.1032 | F1: 0.9193 | AUC: 0.9828 | LR: 2.50e-04 | t=25s
Epoch 037/60 | T.Loss: 1.1528 | V.Loss: 1.1119 | F1: 0.9207 | AUC: 0.9833 | LR: 2.50e-04 | t=25s
Epoch 038/60 | T.Loss: 1.0448 | V.Loss: 1.1294 | F1: 0.9218 | AUC: 0.9828 | LR: 2.50e-04 | t=24s
Epoch 039/60 | T.Loss: 1.0984 | V.Loss: 1.1295 | F1: 0.9211 | AUC: 0.9817 | LR: 2.50e-04 | t=25s
Epoch 040/60 | T.Loss: 1.0637 | V.Loss: 1.1229 | F1: 0.9214 | AUC: 0.9820 | LR: 2.50e-04 | t=25s
Epoch 041/60 | T.Loss: 1.1252 | V.Loss: 1.1131 | F1: 0.9221 | AUC: 0.9823 | LR: 2.50e-04 | t=23s
Epoch 042/60 | T.Loss: 1.1149 | V.Loss: 1.1340 | F1: 0.9196 | AUC: 0.9824 | LR: 2.50e-04 | t=25s
Epoch 043/60 | T.Loss: 1.1392 | V.Loss: 1.1122 | F1: 0.9076 | AUC: 0.9782 | LR: 2.50e-04 | t=25s
Epoch 044/60 | T.Loss: 1.1144 | V.Loss: 1.1133 | F1: 0.9202 | AUC: 0.9829 | LR: 2.50e-04 | t=24s
Epoch 045/60 | T.Loss: 1.0890 | V.Loss: 1.1816 | F1: 0.9136 | AUC: 0.9799 | LR: 2.50e-04 | t=25s
Epoch 046/60 | T.Loss: 1.0561 | V.Loss: 1.1121 | F1: 0.9213 | AUC: 0.9829 | LR: 2.50e-04 | t=26s
Epoch 047/60 | T.Loss: 1.1793 | V.Loss: 1.1178 | F1: 0.9226 | AUC: 0.9824 | LR: 1.25e-04 | t=23s
Epoch 048/60 | T.Loss: 1.1081 | V.Loss: 1.1467 | F1: 0.9224 | AUC: 0.9825 | LR: 1.25e-04 | t=25s
Epoch 049/60 | T.Loss: 1.1268 | V.Loss: 1.1322 | F1: 0.9234 | AUC: 0.9828 | LR: 1.25e-04 | t=26s
Epoch 050/60 | T.Loss: 1.1511 | V.Loss: 1.1369 | F1: 0.9234 | AUC: 0.9816 | LR: 1.25e-04 | t=25s
Epoch 051/60 | T.Loss: 1.0735 | V.Loss: 1.1439 | F1: 0.9234 | AUC: 0.9822 | LR: 1.25e-04 | t=25s
Epoch 052/60 | T.Loss: 1.0846 | V.Loss: 1.1323 | F1: 0.9213 | AUC: 0.9819 | LR: 1.25e-04 | t=25s
Epoch 053/60 | T.Loss: 1.1307 | V.Loss: 1.1420 | F1: 0.9232 | AUC: 0.9817 | LR: 1.25e-04 | t=24s
Epoch 054/60 | T.Loss: 1.0907 | V.Loss: 1.1243 | F1: 0.9241 | AUC: 0.9827 | LR: 1.25e-04 | t=26s
Epoch 055/60 | T.Loss: 1.1363 | V.Loss: 1.1432 | F1: 0.9236 | AUC: 0.9819 | LR: 1.25e-04 | t=26s
Epoch 056/60 | T.Loss: 1.0927 | V.Loss: 1.1225 | F1: 0.9249 | AUC: 0.9825 | LR: 1.25e-04 | t=26s
Epoch 057/60 | T.Loss: 1.1338 | V.Loss: 1.1206 | F1: 0.9231 | AUC: 0.9816 | LR: 1.25e-04 | t=24s
Epoch 058/60 | T.Loss: 1.1824 | V.Loss: 1.1259 | F1: 0.9247 | AUC: 0.9822 | LR: 1.25e-04 | t=25s
Epoch 059/60 | T.Loss: 1.1267 | V.Loss: 1.1307 | F1: 0.9251 | AUC: 0.9830 | LR: 1.25e-04 | t=26s
Epoch 060/60 | T.Loss: 1.0736 | V.Loss: 1.1382 | F1: 0.9235 | AUC: 0.9818 | LR: 1.25e-04 | t=25s
