Epoch 001/50 | [WARMUP 1/5] | T.Loss: 0.5634 | V.Loss: 0.1891 | F1: 0.8785 | AUC: 0.9922 | LR: 1.00e-03 | t=31s
Epoch 002/50 | [WARMUP 2/5] | T.Loss: 0.5030 | V.Loss: 0.1980 | F1: 0.8939 | AUC: 0.9943 | LR: 1.00e-03 | t=27s
Epoch 003/50 | [WARMUP 3/5] | T.Loss: 0.4665 | V.Loss: 0.1367 | F1: 0.8948 | AUC: 0.9957 | LR: 1.00e-03 | t=28s
Epoch 004/50 | [WARMUP 4/5] | T.Loss: 0.4784 | V.Loss: 0.1795 | F1: 0.8860 | AUC: 0.9958 | LR: 1.00e-03 | t=28s
Epoch 005/50 | [WARMUP 5/5] | T.Loss: 0.4778 | V.Loss: 0.1782 | F1: 0.9116 | AUC: 0.9962 | LR: 1.00e-03 | t=28s
Epoch 006/50 | [LGR+ABH] | T.Loss: 0.7469 | V.Loss: 0.2259 | F1: 0.9083 | AUC: 0.9939 | LR: 1.00e-03 | t=28s
Epoch 007/50 | [LGR+ABH] | T.Loss: 0.6867 | V.Loss: 0.2367 | F1: 0.9016 | AUC: 0.9937 | LR: 1.00e-03 | t=28s
Epoch 008/50 | [LGR+ABH] | T.Loss: 0.6403 | V.Loss: 0.2519 | F1: 0.9218 | AUC: 0.9938 | LR: 1.00e-03 | t=28s
Epoch 009/50 | [LGR+ABH] | T.Loss: 0.6698 | V.Loss: 0.2176 | F1: 0.9022 | AUC: 0.9947 | LR: 1.00e-03 | t=28s
Epoch 010/50 | [LGR+ABH] | T.Loss: 0.6824 | V.Loss: 0.1878 | F1: 0.9218 | AUC: 0.9950 | LR: 1.00e-03 | t=28s
Epoch 011/50 | [LGR+ABH] | T.Loss: 0.6680 | V.Loss: 0.2268 | F1: 0.9173 | AUC: 0.9954 | LR: 1.00e-03 | t=29s
Epoch 012/50 | [LGR+ABH] | T.Loss: 0.6988 | V.Loss: 0.2881 | F1: 0.9228 | AUC: 0.9937 | LR: 1.00e-03 | t=29s
Epoch 013/50 | [LGR+ABH] | T.Loss: 0.7028 | V.Loss: 0.2995 | F1: 0.9154 | AUC: 0.9937 | LR: 1.00e-03 | t=29s
Epoch 014/50 | [LGR+ABH] | T.Loss: 0.6644 | V.Loss: 0.3157 | F1: 0.9182 | AUC: 0.9952 | LR: 1.00e-03 | t=29s
Epoch 015/50 | [LGR+ABH] | T.Loss: 0.6522 | V.Loss: 0.1968 | F1: 0.9223 | AUC: 0.9949 | LR: 1.00e-03 | t=29s
Epoch 016/50 | [LGR+ABH] | T.Loss: 0.6671 | V.Loss: 0.2710 | F1: 0.9247 | AUC: 0.9955 | LR: 1.00e-03 | t=29s
Epoch 017/50 | [LGR+ABH] | T.Loss: 0.6861 | V.Loss: 0.2417 | F1: 0.9260 | AUC: 0.9937 | LR: 1.00e-03 | t=29s
Epoch 018/50 | [LGR+ABH] | T.Loss: 0.6756 | V.Loss: 0.2369 | F1: 0.9303 | AUC: 0.9920 | LR: 1.00e-03 | t=29s
Epoch 019/50 | [LGR+ABH] | T.Loss: 0.6204 | V.Loss: 0.1991 | F1: 0.9282 | AUC: 0.9918 | LR: 1.00e-03 | t=29s
Epoch 020/50 | [LGR+ABH] | T.Loss: 0.6636 | V.Loss: 0.2072 | F1: 0.9305 | AUC: 0.9951 | LR: 1.00e-03 | t=29s
Epoch 021/50 | [LGR+ABH] | T.Loss: 0.6279 | V.Loss: 0.2030 | F1: 0.9314 | AUC: 0.9952 | LR: 1.00e-03 | t=31s
Epoch 022/50 | [LGR+ABH] | T.Loss: 0.6321 | V.Loss: 0.1904 | F1: 0.9286 | AUC: 0.9935 | LR: 1.00e-03 | t=30s
